mirna
ARID4A
ATXN1
BLOC1S4
C5ORF22
CHAMP1
CNN3
FAM131B
HCN1
IDE
KDM3B
KLF4
MAPKAP1
PARP1
PIK3CD
POLE4
PRKCB
RAF1
RBMS3
RSBN1
SGIP1
SNAP91
SP1
SPATA2
SUSD6
UBXN2B
ZDHHC9
