mirna
AFF4
ARRDC4
BEND4
CACNG2
CDS1
CSF1
DCUN1D4
DTX4
ECE2
EEF1AKMT4-ECE2
FAM184A
FRMPD3
GAB1
GPAM
GRIA3
IGLON5
KCNK10
KCNK2
KDM7A
MOSMO
MPP6
MSI2
NGFR
NRK
OTULIN
PAIP2
PCNX1
PHF6
PLK2
POGLUT1
POGZ
PRKX
RGL2
RPS6KA5
SEC22A
SLC22A23
SMAP1
SOCS5
SRGAP2
SS18
SZRD1
TEAD1
TMTC2
TNPO1
TRPV3
TUB
UBE2E2
UBR5
