mirna
BLCAP
CDKL5
CNKSR2
COL4A3BP
DCP1A
GCG
GPBP1
HECTD2
ITGB1
KITLG
MINDY2
NUFIP2
NXT2
ONECUT2
PLPPR1
SDHD
SH2B3
SPOPL
TFAP2B
TMEM108
YOD1
YWHAH
