mirna
ADGRL4
CBLL1
CDH20
CXCR4
EBF1
FBN2
GDF10
JUN
KAT6A
KIF13A
PRDM16
SCAPER
SLC25A3
SMOX
TBX1
USP6NL
ZBTB34
