mirna
ADAMTS17
ADAMTS6
ADAMTS9
AKT3
ATAD2B
BRWD3
C16ORF72
C1QTNF6
COL11A1
COL19A1
COL1A1
COL2A1
COL3A1
COL4A1
COL5A1
COL5A2
COL5A3
COL7A1
DAAM2
DIO2
DNMT3A
DOT1L
ERCC6
FBN1
HAS3
HBP1
HIF3A
IGF1
KDM5B
KMT5C
NASP
NAV1
NAV2
NAV3
NEXMIF
NFIA
NSD1
PI15
PTEN
PURG
SESTD1
SMS
SPARC
TET1
TET2
TET3
TMEM169
TRIB2
XKR6
ZBTB34
ZBTB5
