mirna
ACHE
ARID3B
BAK1
BLZF1
BMF
CGN
DOCK3
FREM1
GCNT1
IER3IP1
IRF4
KCNK10
KCNS3
KLF13
NBEAL2
NIPAL4
NUP210
PPP4R3A
RORA
SH3TC2
STARD13
TMEM135
ZNF704
