mirna
B3GALT2
BTG2
C21ORF91
CD69
CDK16
DCAF6
DNAJB9
DOCK9
EFR3A
FAM160B1
FBN1
FBXW7
FNIP1
FNIP2
G3BP2
GLRA1
GOLGA3
GPR180
GTF2A1
HIPK3
ITGAV
KLF4
KLHL14
LHFPL2
MAN2A1
MAP2K4
MORC3
MYO1B
NCKAP5
NEFM
NOX4
NSF
PIKFYVE
PTAR1
RAB23
RIC1
RNF38
SCN8A
SESN3
SLC12A5
SLC17A6
SYN2
UGP2
USP28
ZFC3H1
