mirna
ABHD13
ACTR2
ADCY6
BNC2
BRPF3
CACNB4
CADM2
CAMSAP2
CBFA2T3
CD2AP
CHIC1
CTTN
CUL5
DCUN1D1
EDNRB
EPAS1
FAM171A1
FLOT1
FOXF2
FOXO3
FRS2
GNAQ
GXYLT1
HAS2
HOXA9
IGF1R
ITPR1
LHX1
LIMS1
LMTK2
LPP
LRCH2
MAGI1
MAST4
MED1
MFAP3
MITF
MTSS1
MYRIP
NCALD
NEXMIF
NPTX1
NRN1
PALLD
PCNX1
PPM1L
PRKACB
PRRG3
PRTG
PYGO2
RAB10
RAPGEF5
RARG
RASA1
RGS17
SEPT9
SLC39A9
SNX30
SPATA13
SPIN1
STK19
TAF4B
TAGLN3
TECTB
TRABD2B
USP13
VAMP3
ZC3H15
ZFP36L1
