"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT000230","hsa","hsa","hsa-miR-18a-3p","KRAS","1","1","1","0","0","0","1","0","4","1"
"MIRT040745","hsa","hsa","hsa-miR-18a-3p","ACSM2A","0","0","0","0","1","0","0","0","1","1"
"MIRT040746","hsa","hsa","hsa-miR-18a-3p","UBB","0","0","0","0","1","0","0","0","1","1"
"MIRT040747","hsa","hsa","hsa-miR-18a-3p","PRDX1","0","0","0","0","1","0","0","0","1","1"
"MIRT040748","hsa","hsa","hsa-miR-18a-3p","SRP9","0","0","0","0","1","0","0","0","1","1"
"MIRT040749","hsa","hsa","hsa-miR-18a-3p","HIST2H2BF","0","0","0","0","1","0","0","0","1","1"
"MIRT040750","hsa","hsa","hsa-miR-18a-3p","ANO3","0","0","0","0","1","0","0","0","1","1"
"MIRT040751","hsa","hsa","hsa-miR-18a-3p","PPIA","0","0","0","0","1","0","0","0","1","1"
"MIRT040752","hsa","hsa","hsa-miR-18a-3p","CUL3","0","0","0","0","1","0","0","0","1","1"
"MIRT040753","hsa","hsa","hsa-miR-18a-3p","VTI1A","0","0","0","0","1","0","0","0","1","1"
"MIRT040754","hsa","hsa","hsa-miR-18a-3p","ARF5","0","0","0","0","1","0","0","0","1","1"
"MIRT040755","hsa","hsa","hsa-miR-18a-3p","RHEB","0","0","0","0","1","0","0","0","1","1"
"MIRT040756","hsa","hsa","hsa-miR-18a-3p","RPAP1","0","0","0","0","1","0","0","0","1","1"
"MIRT040757","hsa","hsa","hsa-miR-18a-3p","SLC38A2","0","0","0","0","1","0","0","0","1","1"
"MIRT040758","hsa","hsa","hsa-miR-18a-3p","GINS1","0","0","0","0","1","0","0","0","1","1"
"MIRT040759","hsa","hsa","hsa-miR-18a-3p","RPL26","0","0","0","0","1","0","0","0","1","1"
"MIRT040760","hsa","hsa","hsa-miR-18a-3p","DAG1","0","0","0","0","1","0","0","0","1","1"
"MIRT040761","hsa","hsa","hsa-miR-18a-3p","PSMB7","0","0","0","0","1","0","0","0","1","1"
"MIRT040762","hsa","hsa","hsa-miR-18a-3p","PRCC","0","0","0","0","1","0","0","0","1","1"
"MIRT040763","hsa","hsa","hsa-miR-18a-3p","USP3","0","0","0","0","1","0","0","0","1","1"
"MIRT040764","hsa","hsa","hsa-miR-18a-3p","PAK4","0","0","0","0","1","0","0","0","1","1"
"MIRT040765","hsa","hsa","hsa-miR-18a-3p","C6orf222","0","0","0","0","1","0","0","0","1","1"
"MIRT040766","hsa","hsa","hsa-miR-18a-3p","FAM3A","0","0","0","0","1","0","0","0","1","1"
"MIRT040767","hsa","hsa","hsa-miR-18a-3p","NOTCH4","0","0","0","0","1","0","0","0","1","1"
"MIRT040768","hsa","hsa","hsa-miR-18a-3p","CABLES1","0","0","0","0","1","0","0","0","1","1"
"MIRT040769","hsa","hsa","hsa-miR-18a-3p","CD320","0","0","0","0","1","0","0","0","1","1"
"MIRT040770","hsa","hsa","hsa-miR-18a-3p","BCL2L12","0","0","0","0","1","0","0","0","1","1"
"MIRT040771","hsa","hsa","hsa-miR-18a-3p","DAB2IP","0","0","0","0","1","0","0","0","1","1"
"MIRT040772","hsa","hsa","hsa-miR-18a-3p","P4HB","0","0","0","0","1","0","0","0","1","1"
"MIRT040773","hsa","hsa","hsa-miR-18a-3p","DPF1","0","0","0","0","1","0","0","0","1","1"
"MIRT040774","hsa","hsa","hsa-miR-18a-3p","MED13L","0","0","0","0","1","0","0","0","1","1"
"MIRT040775","hsa","hsa","hsa-miR-18a-3p","RPL31","0","0","0","0","1","0","0","0","1","1"
"MIRT040776","hsa","hsa","hsa-miR-18a-3p","PCDHGC5","0","0","0","0","1","0","0","0","1","1"
"MIRT040777","hsa","hsa","hsa-miR-18a-3p","VMA21","0","0","0","0","1","0","0","0","1","1"
"MIRT040778","hsa","hsa","hsa-miR-18a-3p","COL27A1","0","0","0","0","1","0","0","0","1","1"
"MIRT040779","hsa","hsa","hsa-miR-18a-3p","RPS12","0","0","0","0","1","0","0","0","1","1"
"MIRT040780","hsa","hsa","hsa-miR-18a-3p","LIMS1","0","0","0","0","1","0","0","0","1","1"
"MIRT040781","hsa","hsa","hsa-miR-18a-3p","HIST2H2AA3","0","0","0","0","1","0","0","0","1","1"
"MIRT040782","hsa","hsa","hsa-miR-18a-3p","FAM105A","0","0","0","0","1","0","0","0","1","1"
"MIRT040783","hsa","hsa","hsa-miR-18a-3p","ATP6V1E1","0","0","0","0","1","0","0","0","1","1"
"MIRT040784","hsa","hsa","hsa-miR-18a-3p","RPL28","0","0","0","0","1","0","0","0","1","1"
"MIRT040785","hsa","hsa","hsa-miR-18a-3p","RRS1","0","0","0","0","1","0","0","0","1","1"
"MIRT040786","hsa","hsa","hsa-miR-18a-3p","CYB561","0","0","0","0","1","0","0","0","1","1"
"MIRT040787","hsa","hsa","hsa-miR-18a-3p","SUPT16H","0","0","0","0","1","0","0","0","1","1"
"MIRT040788","hsa","hsa","hsa-miR-18a-3p","WNK1","0","0","0","0","1","0","0","0","1","1"
