"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT048955","hsa","hsa","hsa-miR-92a-3p","CAMKV","0","0","0","0","1","0","0","0","1","1"
"MIRT048956","hsa","hsa","hsa-miR-92a-3p","QTRT1","0","0","0","0","1","0","0","0","1","1"
"MIRT048957","hsa","hsa","hsa-miR-92a-3p","ASAH1","0","0","0","0","1","0","0","0","1","1"
"MIRT048958","hsa","hsa","hsa-miR-92a-3p","SAP30BP","0","0","0","0","1","0","0","0","1","1"
"MIRT048959","hsa","hsa","hsa-miR-92a-3p","RORA","0","0","1","0","1","0","0","0","2","1"
"MIRT048960","hsa","hsa","hsa-miR-92a-3p","ELAC2","0","0","0","0","1","0","0","0","1","1"
"MIRT048961","hsa","hsa","hsa-miR-92a-3p","HNRNPLL","0","0","0","0","1","0","0","0","1","1"
"MIRT048962","hsa","hsa","hsa-miR-92a-3p","ETV6","0","0","0","0","1","0","0","0","1","1"
"MIRT048963","hsa","hsa","hsa-miR-92a-3p","PRRC2B","0","0","0","0","1","0","0","1","2","4"
"MIRT048964","hsa","hsa","hsa-miR-92a-3p","LY6G5B","0","0","0","0","1","0","0","0","1","1"
"MIRT048965","hsa","hsa","hsa-miR-92a-3p","ALKBH4","0","0","0","0","1","0","0","0","1","1"
"MIRT048966","hsa","hsa","hsa-miR-92a-3p","DAZAP1","0","0","0","0","1","0","0","0","1","1"
"MIRT048967","hsa","hsa","hsa-miR-92a-3p","IPO7","0","0","0","0","1","0","0","0","1","1"
"MIRT048968","hsa","hsa","hsa-miR-92a-3p","CTC1","0","0","0","0","1","0","0","0","1","1"
"MIRT048969","hsa","hsa","hsa-miR-92a-3p","CHCHD10","0","0","0","0","1","0","0","0","1","1"
"MIRT048970","hsa","hsa","hsa-miR-92a-3p","BSG","0","0","0","0","1","0","0","0","1","1"
"MIRT048971","hsa","hsa","hsa-miR-92a-3p","RABGAP1","0","0","0","0","1","0","0","0","1","1"
"MIRT048972","hsa","hsa","hsa-miR-92a-3p","NMD3","0","0","0","0","1","0","0","0","1","1"
"MIRT048973","hsa","hsa","hsa-miR-92a-3p","MRPL32","0","0","0","0","1","0","0","0","1","1"
"MIRT048974","hsa","hsa","hsa-miR-92a-3p","RPL11","0","0","0","0","1","0","0","0","1","1"
"MIRT048975","hsa","hsa","hsa-miR-92a-3p","WEE1","0","0","0","0","1","0","0","0","1","1"
"MIRT048976","hsa","hsa","hsa-miR-92a-3p","BAK1","0","0","0","0","1","0","0","1","2","3"
"MIRT048977","hsa","hsa","hsa-miR-92a-3p","MYH2","0","0","0","0","1","0","0","0","1","1"
"MIRT048978","hsa","hsa","hsa-miR-92a-3p","INSIG1","0","0","0","0","1","0","0","1","2","4"
"MIRT048979","hsa","hsa","hsa-miR-92a-3p","GARNL3","0","0","0","0","1","0","0","0","1","1"
"MIRT048980","hsa","hsa","hsa-miR-92a-3p","HMGCR","0","0","0","0","1","0","0","0","1","2"
"MIRT048981","hsa","hsa","hsa-miR-92a-3p","TUBB2B","0","0","0","0","1","0","0","0","1","1"
"MIRT048982","hsa","hsa","hsa-miR-92a-3p","RPL24","0","0","0","0","1","0","0","0","1","1"
"MIRT048983","hsa","hsa","hsa-miR-92a-3p","HELQ","0","0","0","0","1","0","0","0","1","1"
"MIRT048984","hsa","hsa","hsa-miR-92a-3p","MAPK1IP1L","0","0","0","0","1","0","0","0","1","1"
"MIRT048985","hsa","hsa","hsa-miR-92a-3p","PLA2G4F","0","0","0","0","1","0","0","0","1","1"
"MIRT048986","hsa","hsa","hsa-miR-92a-3p","HERC1","0","0","0","0","1","0","0","0","1","1"
"MIRT048987","hsa","hsa","hsa-miR-92a-3p","RASAL2","0","0","1","0","1","0","0","0","2","1"
"MIRT048988","hsa","hsa","hsa-miR-92a-3p","RAD23B","0","0","0","0","1","0","0","0","1","1"
"MIRT048989","hsa","hsa","hsa-miR-92a-3p","PSMD11","0","0","0","0","1","0","0","0","1","1"
"MIRT048990","hsa","hsa","hsa-miR-92a-3p","TALDO1","0","0","0","0","1","0","0","0","1","1"
"MIRT048991","hsa","hsa","hsa-miR-92a-3p","CCDC6","0","0","0","0","1","0","0","0","1","1"
"MIRT048992","hsa","hsa","hsa-miR-92a-3p","RNF128","0","0","0","0","1","0","0","0","1","1"
"MIRT048993","hsa","hsa","hsa-miR-92a-3p","CLNS1A","0","0","0","0","1","0","0","0","1","1"
"MIRT048994","hsa","hsa","hsa-miR-92a-3p","NUCB1","0","0","0","0","1","0","0","0","1","1"
"MIRT048995","hsa","hsa","hsa-miR-92a-3p","POTEG","0","0","0","0","1","0","0","0","1","1"
"MIRT048996","hsa","hsa","hsa-miR-92a-3p","DCAF12","0","0","0","0","1","0","0","0","1","1"
"MIRT048997","hsa","hsa","hsa-miR-92a-3p","USP9X","0","0","0","0","1","0","0","0","1","1"
"MIRT048998","hsa","hsa","hsa-miR-92a-3p","BLMH","0","0","0","0","1","0","0","0","1","1"
"MIRT048999","hsa","hsa","hsa-miR-92a-3p","DCP2","0","0","0","0","1","0","0","0","1","1"
"MIRT049000","hsa","hsa","hsa-miR-92a-3p","SEC14L1","0","0","0","0","1","0","0","0","1","1"
"MIRT049001","hsa","hsa","hsa-miR-92a-3p","EIF3I","0","0","0","0","1","0","0","0","1","1"
"MIRT049002","hsa","hsa","hsa-miR-92a-3p","NCL","0","0","0","0","1","0","0","0","1","1"
"MIRT049003","hsa","hsa","hsa-miR-92a-3p","MAP1B","0","0","0","0","1","0","0","1","2","5"
"MIRT049004","hsa","hsa","hsa-miR-92a-3p","GOLIM4","0","0","0","0","1","0","0","0","1","1"
"MIRT049005","hsa","hsa","hsa-miR-92a-3p","EEF2","0","0","0","0","1","0","0","0","1","1"
"MIRT049006","hsa","hsa","hsa-miR-92a-3p","RASA1","0","0","0","0","1","0","0","0","1","1"
"MIRT049007","hsa","hsa","hsa-miR-92a-3p","PLEKHB1","0","0","0","0","1","0","0","0","1","1"
"MIRT049008","hsa","hsa","hsa-miR-92a-3p","CCNI","0","0","0","0","1","0","0","0","1","1"
"MIRT049009","hsa","hsa","hsa-miR-92a-3p","RPS25","0","0","0","0","1","0","0","0","1","1"
"MIRT049010","hsa","hsa","hsa-miR-92a-3p","FYCO1","0","0","0","0","1","0","0","0","1","1"
"MIRT049011","hsa","hsa","hsa-miR-92a-3p","AHCYL2","0","0","0","0","1","0","0","0","1","1"
"MIRT049012","hsa","hsa","hsa-miR-92a-3p","ABL2","0","0","0","0","1","0","0","0","1","1"
"MIRT049013","hsa","hsa","hsa-miR-92a-3p","GANAB","0","0","0","0","1","0","0","0","1","1"
"MIRT049014","hsa","hsa","hsa-miR-92a-3p","CRBN","0","0","0","0","1","0","0","0","1","1"
"MIRT049015","hsa","hsa","hsa-miR-92a-3p","MKI67","0","0","0","0","1","0","0","0","1","1"
"MIRT049016","hsa","hsa","hsa-miR-92a-3p","LPIN1","0","0","0","0","1","0","0","0","1","1"
"MIRT049017","hsa","hsa","hsa-miR-92a-3p","KDM6B","0","0","0","0","1","0","0","0","1","1"
"MIRT049018","hsa","hsa","hsa-miR-92a-3p","GPR89A","0","0","0","0","1","0","0","0","1","1"
"MIRT049019","hsa","hsa","hsa-miR-92a-3p","CBX6","0","0","0","0","1","0","0","0","1","1"
"MIRT049020","hsa","hsa","hsa-miR-92a-3p","ANKLE2","0","0","0","0","1","0","0","0","1","1"
"MIRT049021","hsa","hsa","hsa-miR-92a-3p","SCD5","0","0","0","0","1","0","0","0","1","1"
"MIRT049022","hsa","hsa","hsa-miR-92a-3p","NUDCD3","0","0","0","0","1","0","0","0","1","1"
"MIRT049023","hsa","hsa","hsa-miR-92a-3p","AGO1","0","0","0","0","1","0","0","0","1","1"
"MIRT049024","hsa","hsa","hsa-miR-92a-3p","PKM","0","0","0","0","1","0","0","0","1","1"
"MIRT049025","hsa","hsa","hsa-miR-92a-3p","NUP205","0","0","0","0","1","0","0","0","1","1"
"MIRT049026","hsa","hsa","hsa-miR-92a-3p","RASA3","0","0","0","0","1","0","0","0","1","1"
"MIRT049027","hsa","hsa","hsa-miR-92a-3p","EIF3C","0","0","0","0","1","0","0","0","1","1"
"MIRT049028","hsa","hsa","hsa-miR-92a-3p","HADHA","0","0","0","0","1","0","0","0","1","1"
"MIRT049029","hsa","hsa","hsa-miR-92a-3p","GHITM","0","0","0","0","1","0","0","0","1","1"
"MIRT049030","hsa","hsa","hsa-miR-92a-3p","PLEKHH3","0","0","0","0","1","0","0","0","1","1"
"MIRT049031","hsa","hsa","hsa-miR-92a-3p","RCAN1","0","0","0","0","1","0","0","0","1","1"
"MIRT049032","hsa","hsa","hsa-miR-92a-3p","UBE2H","0","0","0","0","1","0","0","0","1","1"
"MIRT049033","hsa","hsa","hsa-miR-92a-3p","CCSAP","0","0","0","0","1","0","0","0","1","1"
"MIRT049034","hsa","hsa","hsa-miR-92a-3p","DHTKD1","0","0","0","0","1","0","0","0","1","1"
"MIRT049035","hsa","hsa","hsa-miR-92a-3p","IER3IP1","0","0","0","0","1","0","0","0","1","1"
"MIRT049036","hsa","hsa","hsa-miR-92a-3p","SLAIN1","0","0","0","0","1","0","0","0","1","1"
"MIRT049037","hsa","hsa","hsa-miR-92a-3p","NPLOC4","0","0","0","0","1","0","0","0","1","1"
"MIRT049038","hsa","hsa","hsa-miR-92a-3p","DOT1L","0","0","0","0","1","0","0","0","1","1"
"MIRT049039","hsa","hsa","hsa-miR-92a-3p","TPRN","0","0","0","0","1","0","0","0","1","1"
"MIRT049040","hsa","hsa","hsa-miR-92a-3p","RPL27","0","0","0","0","1","0","0","0","1","1"
"MIRT049041","hsa","hsa","hsa-miR-92a-3p","ELOVL6","0","0","0","0","1","0","0","0","1","1"
"MIRT049042","hsa","hsa","hsa-miR-92a-3p","DHRS3","0","0","0","0","1","0","0","0","1","1"
"MIRT049043","hsa","hsa","hsa-miR-92a-3p","FKBP1A","0","0","0","0","1","0","0","1","2","5"
"MIRT049044","hsa","hsa","hsa-miR-92a-3p","HIST1H3D","0","0","0","0","1","0","0","0","1","1"
"MIRT049045","hsa","hsa","hsa-miR-92a-3p","ZNF785","0","0","0","0","1","0","0","0","1","1"
"MIRT049046","hsa","hsa","hsa-miR-92a-3p","ACAT2","0","0","0","0","1","0","0","0","1","1"
"MIRT049047","hsa","hsa","hsa-miR-92a-3p","ADAMTS1","0","0","0","0","1","0","0","0","1","1"
"MIRT049048","hsa","hsa","hsa-miR-92a-3p","SPEN","0","0","0","0","1","0","0","0","1","1"
"MIRT049049","hsa","hsa","hsa-miR-92a-3p","TAOK2","0","0","0","0","1","0","0","0","1","1"
"MIRT049050","hsa","hsa","hsa-miR-92a-3p","POLRMT","0","0","0","0","1","0","0","0","1","1"
"MIRT049051","hsa","hsa","hsa-miR-92a-3p","EFNA5","0","0","0","0","1","0","0","0","1","1"
"MIRT049052","hsa","hsa","hsa-miR-92a-3p","SHC3","0","0","0","0","1","0","0","0","1","1"
"MIRT049053","hsa","hsa","hsa-miR-92a-3p","POLI","0","0","0","0","1","0","0","0","1","1"
"MIRT049054","hsa","hsa","hsa-miR-92a-3p","CDK11A","0","0","0","0","1","0","0","0","1","1"
"MIRT049055","hsa","hsa","hsa-miR-92a-3p","MAML1","0","0","0","0","1","0","0","0","1","1"
"MIRT049056","hsa","hsa","hsa-miR-92a-3p","TUBB3","0","0","0","0","1","0","0","0","1","1"
"MIRT049057","hsa","hsa","hsa-miR-92a-3p","CDK1","0","0","0","0","1","0","0","0","1","1"
"MIRT049058","hsa","hsa","hsa-miR-92a-3p","KPNA6","0","0","0","0","1","0","0","0","1","1"
"MIRT049059","hsa","hsa","hsa-miR-92a-3p","FAF1","0","0","0","0","1","0","0","0","1","1"
"MIRT049060","hsa","hsa","hsa-miR-92a-3p","RPL7A","0","0","0","0","1","0","0","0","1","1"
"MIRT049061","hsa","hsa","hsa-miR-92a-3p","EIF2B2","0","0","0","0","1","0","0","0","1","1"
"MIRT049062","hsa","hsa","hsa-miR-92a-3p","DNM2","0","0","0","0","1","0","0","0","1","1"
"MIRT049063","hsa","hsa","hsa-miR-92a-3p","ACADS","0","0","0","0","1","0","0","0","1","1"
"MIRT049064","hsa","hsa","hsa-miR-92a-3p","EIF3B","0","0","0","0","1","0","0","0","1","1"
"MIRT049065","hsa","hsa","hsa-miR-92a-3p","CPSF6","0","0","0","0","1","0","0","0","1","1"
"MIRT049066","hsa","hsa","hsa-miR-92a-3p","PSMB1","0","0","0","0","1","0","0","0","1","1"
"MIRT049067","hsa","hsa","hsa-miR-92a-3p","PDE4DIP","0","0","0","0","1","0","0","0","1","1"
"MIRT049068","hsa","hsa","hsa-miR-92a-3p","BTRC","0","0","0","0","1","0","0","0","1","1"
"MIRT049069","hsa","hsa","hsa-miR-92a-3p","TRIP12","0","0","0","0","1","0","0","0","1","1"
"MIRT049070","hsa","hsa","hsa-miR-92a-3p","TRAF4","0","0","0","0","1","0","0","0","1","1"
"MIRT049071","hsa","hsa","hsa-miR-92a-3p","SLC25A38","0","0","0","0","1","0","0","0","1","1"
"MIRT049072","hsa","hsa","hsa-miR-92a-3p","CEP85","0","0","0","0","1","0","0","0","1","1"
"MIRT049073","hsa","hsa","hsa-miR-92a-3p","CD59","0","0","0","0","1","0","0","0","1","1"
"MIRT049074","hsa","hsa","hsa-miR-92a-3p","RPA2","0","0","0","0","1","0","0","0","1","1"
"MIRT049075","hsa","hsa","hsa-miR-92a-3p","B4GALT2","0","0","0","0","1","0","0","0","1","1"
"MIRT049076","hsa","hsa","hsa-miR-92a-3p","MLX","0","0","0","0","1","0","0","0","1","1"
"MIRT049077","hsa","hsa","hsa-miR-92a-3p","SELRC1","0","0","0","0","1","0","0","0","1","1"
"MIRT049078","hsa","hsa","hsa-miR-92a-3p","CXorf56","0","0","0","0","1","0","0","0","1","1"
"MIRT049079","hsa","hsa","hsa-miR-92a-3p","KDM3B","0","0","0","0","1","0","0","0","1","1"
"MIRT049080","hsa","hsa","hsa-miR-92a-3p","USP10","0","0","0","0","1","0","0","0","1","1"
"MIRT049081","hsa","hsa","hsa-miR-92a-3p","TRMT61A","0","0","0","0","1","0","0","0","1","1"
"MIRT049082","hsa","hsa","hsa-miR-92a-3p","ENO1","0","0","0","0","1","0","0","0","1","1"
"MIRT049083","hsa","hsa","hsa-miR-92a-3p","PPP1R3G","0","0","0","0","1","0","0","0","1","1"
"MIRT049084","hsa","hsa","hsa-miR-92a-3p","SNF8","0","0","0","0","1","0","0","0","1","1"
"MIRT049085","hsa","hsa","hsa-miR-92a-3p","EBP","0","0","0","0","1","0","0","0","1","1"
"MIRT049086","hsa","hsa","hsa-miR-92a-3p","NTPCR","0","0","0","0","1","0","0","0","1","1"
"MIRT049087","hsa","hsa","hsa-miR-92a-3p","LRRC37A2","0","0","0","0","1","0","0","0","1","1"
"MIRT049088","hsa","hsa","hsa-miR-92a-3p","TNRC18","0","0","0","0","1","0","0","0","1","1"
"MIRT049089","hsa","hsa","hsa-miR-92a-3p","SRPRB","0","0","0","0","1","0","0","0","1","1"
"MIRT049090","hsa","hsa","hsa-miR-92a-3p","RCC1","0","0","0","0","1","0","0","0","1","1"
"MIRT049091","hsa","hsa","hsa-miR-92a-3p","PFDN6","0","0","0","0","1","0","0","0","1","1"
"MIRT049092","hsa","hsa","hsa-miR-92a-3p","CMTM6","0","0","0","0","1","0","0","0","1","1"
"MIRT049093","hsa","hsa","hsa-miR-92a-3p","PBX2","0","0","0","0","1","0","0","0","1","1"
"MIRT049094","hsa","hsa","hsa-miR-92a-3p","MRPL9","0","0","0","0","1","0","0","0","1","1"
"MIRT049095","hsa","hsa","hsa-miR-92a-3p","KLHL15","0","0","0","0","1","0","0","1","2","8"
"MIRT049096","hsa","hsa","hsa-miR-92a-3p","RPS15","0","0","0","0","1","0","0","0","1","1"
"MIRT049097","hsa","hsa","hsa-miR-92a-3p","SPTLC1","0","0","0","0","1","0","0","0","1","1"
"MIRT049098","hsa","hsa","hsa-miR-92a-3p","HDAC1","0","0","0","0","1","0","0","0","1","1"
"MIRT049099","hsa","hsa","hsa-miR-92a-3p","MINK1","0","0","0","0","1","0","0","0","1","1"
"MIRT049100","hsa","hsa","hsa-miR-92a-3p","HSP90B1","0","0","0","0","1","0","0","0","1","1"
"MIRT049101","hsa","hsa","hsa-miR-92a-3p","SKI","0","0","0","0","1","0","0","0","1","1"
"MIRT049102","hsa","hsa","hsa-miR-92a-3p","NXN","0","0","0","0","1","0","0","0","1","1"
"MIRT049103","hsa","hsa","hsa-miR-92a-3p","SACM1L","0","0","0","0","1","0","0","0","1","1"
"MIRT049104","hsa","hsa","hsa-miR-92a-3p","TCOF1","0","0","0","0","1","0","0","0","1","1"
"MIRT049105","hsa","hsa","hsa-miR-92a-3p","NFKB1","0","0","0","0","1","0","0","0","1","1"
"MIRT049106","hsa","hsa","hsa-miR-92a-3p","DDX17","0","0","0","0","1","0","0","0","1","1"
"MIRT049107","hsa","hsa","hsa-miR-92a-3p","PSMC3","0","0","0","0","1","0","0","0","1","1"
"MIRT049108","hsa","hsa","hsa-miR-92a-3p","HIP1R","0","0","0","0","1","0","0","0","1","1"
"MIRT049109","hsa","hsa","hsa-miR-92a-3p","CCAR1","0","0","0","0","1","0","0","0","1","1"
"MIRT049110","hsa","hsa","hsa-miR-92a-3p","TUBA1C","0","0","0","0","1","0","0","0","1","1"
"MIRT049111","hsa","hsa","hsa-miR-92a-3p","SNX9","0","0","0","0","1","0","0","0","1","1"
"MIRT049112","hsa","hsa","hsa-miR-92a-3p","KPNA2","0","0","0","0","1","0","0","0","1","1"
"MIRT049113","hsa","hsa","hsa-miR-92a-3p","CSDE1","0","0","0","0","1","0","0","0","1","1"
"MIRT049114","hsa","hsa","hsa-miR-92a-3p","YBX3","0","0","0","0","1","0","0","0","1","1"
"MIRT049115","hsa","hsa","hsa-miR-92a-3p","CHAF1A","0","0","0","0","1","0","0","0","1","1"
"MIRT049116","hsa","hsa","hsa-miR-92a-3p","APOLD1","0","0","0","0","1","0","0","0","1","1"
"MIRT049117","hsa","hsa","hsa-miR-92a-3p","PDIK1L","0","0","0","0","1","0","0","0","1","1"
