"miRNA ID","miRNA Name","Target Gene IDs","Target Gene Names"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000164867","NOS3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000164924","YWHAZ"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000166598","HSP90B1"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000166913","YWHAB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000167244","IGF2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000168209","DDIT4"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000168685","IL7R"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000169031","COL4A3"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000171791","BCL2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000172354","GNB2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000172380","GNG12"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000173039","RELA"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000173511","VEGFB"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000175305","CCNE2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000181104","F2R"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000182158","CREB3L2"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000182578","CSF1R"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000197565","COL4A6"
"MIMAT0000646","hsa-miR-155-5p","ENSG00000221914","PPP2R2A"
