"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT054098","hsa","hsa","hsa-miR-210-3p","NDUFA4","1","1","1","1","0","0","0","0","4","2"
"MIRT054099","hsa","hsa","hsa-miR-210-3p","SDHD","1","1","1","1","1","0","0","1","6","4"
"MIRT054141","hsa","hsa","hsa-miR-210-3p","STMN1","1","0","1","1","0","0","0","0","3","1"
"MIRT054142","hsa","hsa","hsa-miR-210-3p","DIMT1L","1","0","1","1","1","0","0","0","4","2"
"MIRT054186","hsa","hsa","hsa-miR-210-3p","ROD1","0","1","1","1","0","0","0","0","3","1"
"MIRT054203","hsa","hsa","hsa-miR-210-3p","ALDH5A1","1","1","1","1","0","0","0","0","4","1"
"MIRT054204","hsa","hsa","hsa-miR-210-3p","FOXN3","1","1","1","1","0","0","0","1","5","2"
"MIRT054205","hsa","hsa","hsa-miR-210-3p","MCM3","1","1","1","1","0","0","0","0","4","1"
"MIRT054206","hsa","hsa","hsa-miR-210-3p","IGFBP3","1","1","1","1","0","0","0","0","4","1"
"MIRT054207","hsa","hsa","hsa-miR-210-3p","COL4A2","1","1","1","1","0","0","0","0","4","1"
"MIRT054208","hsa","hsa","hsa-miR-210-3p","INPP5A","1","1","1","1","0","0","0","0","4","1"
"MIRT054209","hsa","hsa","hsa-miR-210-3p","EHD2","1","1","1","1","0","0","0","0","4","1"
"MIRT054210","hsa","hsa","hsa-miR-210-3p","SH3BGRL","1","1","1","1","1","0","0","0","5","2"
"MIRT054248","hsa","hsa","hsa-miR-210-3p","PTPN2","1","1","1","0","0","0","0","0","3","1"
"MIRT054321","hsa","hsa","hsa-miR-210-3p","LDHA","1","0","1","0","0","0","0","0","2","1"
"MIRT054324","hsa","hsa","hsa-miR-210-3p","LDHB","1","0","1","0","0","0","0","0","2","1"
"MIRT054349","hsa","hsa","hsa-miR-210-3p","HIF1A","1","1","1","0","0","0","0","0","3","1"
"MIRT054714","hsa","hsa","hsa-miR-210-3p","FOXP3","1","1","1","0","0","0","0","0","3","1"
"MIRT054794","hsa","hsa","hsa-miR-210-3p","HIF3A","1","1","1","0","0","0","0","0","3","1"
"MIRT115688","hsa","hsa","hsa-miR-210-3p","MGRN1","0","0","0","0","1","0","0","1","2","3"
"MIRT170674","hsa","hsa","hsa-miR-210-3p","INSIG1","0","0","0","0","1","0","0","0","1","1"
"MIRT437785","hsa","hsa","hsa-miR-210-3p","BNIP3","1","1","1","0","0","0","0","0","3","1"
"MIRT438739","hsa","hsa","hsa-miR-210-3p","KCMF1","1","0","0","0","0","0","0","0","1","1"
"MIRT439407","hsa","hsa","hsa-miR-210-3p","TNPO3","0","0","0","0","1","0","0","0","1","1"
"MIRT439629","hsa","hsa","hsa-miR-210-3p","SIPA1L3","0","0","0","0","1","0","0","0","1","1"
"MIRT439632","hsa","hsa","hsa-miR-210-3p","SIN3A","0","0","0","0","1","0","0","0","1","1"
"MIRT439740","hsa","hsa","hsa-miR-210-3p","RPL22","0","0","0","0","1","0","0","0","1","1"
"MIRT439886","hsa","hsa","hsa-miR-210-3p","PSAP","0","0","0","0","1","0","0","0","1","1"
"MIRT439918","hsa","hsa","hsa-miR-210-3p","PPP1R2","0","0","0","0","1","0","0","0","1","1"
"MIRT439928","hsa","hsa","hsa-miR-210-3p","POU2AF1","0","0","0","0","1","0","0","0","1","1"
"MIRT440033","hsa","hsa","hsa-miR-210-3p","ICMT","0","0","0","0","1","0","0","1","2","3"
"MIRT440255","hsa","hsa","hsa-miR-210-3p","MEF2D","0","0","0","0","1","0","0","0","1","1"
"MIRT440491","hsa","hsa","hsa-miR-210-3p","HMGCS1","0","0","0","0","1","0","0","1","2","3"
"MIRT440570","hsa","hsa","hsa-miR-210-3p","GIT2","0","0","0","0","1","0","0","0","1","1"
"MIRT440647","hsa","hsa","hsa-miR-210-3p","FCHSD2","0","0","0","0","1","0","0","0","1","1"
"MIRT440830","hsa","hsa","hsa-miR-210-3p","DEAF1","0","0","0","0","1","0","0","0","1","1"
"MIRT440866","hsa","hsa","hsa-miR-210-3p","CSNK1E","0","0","0","0","1","0","0","0","1","1"
"MIRT472232","hsa","hsa","hsa-miR-210-3p","NFIC","0","0","0","0","1","0","0","1","2","2"
"MIRT473190","hsa","hsa","hsa-miR-210-3p","MITF","0","0","0","0","1","0","0","1","2","2"
"MIRT477856","hsa","hsa","hsa-miR-210-3p","DYRK2","0","0","0","0","1","0","0","1","2","2"
"MIRT497528","hsa","hsa","hsa-miR-210-3p","ZNF607","0","0","0","0","1","0","0","1","2","2"
"MIRT509770","hsa","hsa","hsa-miR-210-3p","SERTM1","0","0","0","0","1","0","0","1","2","6"
"MIRT524407","hsa","hsa","hsa-miR-210-3p","CNTNAP5","0","0","0","0","1","0","0","1","2","4"
"MIRT535209","hsa","hsa","hsa-miR-210-3p","PKIA","0","0","0","0","1","0","0","1","2","4"
"MIRT554511","hsa","hsa","hsa-miR-210-3p","RUNX1T1","0","0","0","0","1","0","0","1","2","4"
"MIRT558069","hsa","hsa","hsa-miR-210-3p","ESCO2","0","0","0","0","1","0","0","1","2","2"
"MIRT572273","hsa","hsa","hsa-miR-210-3p","KCNJ6","0","0","0","0","1","0","0","1","2","2"
"MIRT574255","hsa","hsa","hsa-miR-210-3p","DOCK7","0","0","0","0","1","0","0","1","2","4"
"MIRT575621","mmu","mmu","hsa-miR-210-3p","Foxn3","0","0","0","0","1","0","0","1","2","2"
"MIRT575742","mmu","mmu","hsa-miR-210-3p","Zfp618","0","0","0","0","1","0","0","0","1","1"
"MIRT609050","hsa","hsa","hsa-miR-210-3p","VAMP4","0","0","0","0","1","0","0","1","2","2"
"MIRT611143","hsa","hsa","hsa-miR-210-3p","TNRC6B","0","0","0","0","1","0","0","1","2","4"
"MIRT699226","hsa","hsa","hsa-miR-210-3p","SLCO3A1","0","0","0","0","1","0","0","1","2","2"
"MIRT703060","hsa","hsa","hsa-miR-210-3p","GTDC1","0","0","0","0","1","0","0","1","2","2"
"MIRT716005","hsa","hsa","hsa-miR-210-3p","ASB11","0","0","0","0","1","0","0","1","2","2"
"MIRT731682","hsa","hsa","hsa-miR-210-3p","BTK","1","1","0","0","1","0","0","0","3","1"
"MIRT733090","hsa","hsa","hsa-miR-210-3p","DLEU2L","1","1","1","0","0","0","0","0","3","0"
"MIRT733091","hsa","hsa","hsa-miR-210-3p","BRCA2","1","1","1","0","0","0","0","0","3","0"
"MIRT733156","hsa","hsa","hsa-miR-210-3p","ITGA5","0","0","1","0","0","0","0","0","1","0"
"MIRT733501","hsa","hsa","hsa-miR-210-3p","GATA1","1","1","1","0","0","0","0","0","3","0"
"MIRT733503","hsa","hsa","hsa-miR-210-3p","SMAD2","1","1","1","0","0","0","0","0","3","0"
"MIRT733525","hsa","hsa","hsa-miR-210-3p","MIR210HG","0","1","1","0","0","0","0","0","2","0"
"MIRT733615","hsa","hsa","hsa-miR-210-3p","TGFBI","0","1","1","0","0","0","0","0","2","0"
"MIRT734175","hsa","hsa","hsa-miR-210-3p","KRAS","0","1","1","0","0","0","0","0","2","0"
"MIRT734293","hsa","hsa","hsa-miR-210-3p","PTEN","0","0","1","0","0","0","0","0","1","0"
"MIRT734568","hsa","hsa","hsa-miR-210-3p","STAT6","0","0","1","0","0","0","0","0","1","0"
"MIRT734966","hsa","hsa","hsa-miR-210-3p","ADAMTS6","0","0","0","1","0","0","0","0","1","0"
"MIRT736294","hsa","hsa","hsa-miR-210-3p","ID2","0","0","0","0","1","0","0","0","1","0"
"MIRT737104","oar","oar","hsa-miR-210-3p","FABP4","1","1","1","0","0","0","0","0","3","0"
"MIRT753664","hsa","hsa","hsa-miR-210-3p","ZNF618","0","0","0","0","0","0","0","1","1","1"
