mirna,AAK1,ABCC4,ABCF3,ABHD16A,ABI2,ACOT7,ACOX1,ACTR2,ADAM10,ADAMTS4,ADAMTS5
hsa-mir-155-3p,0,0,1,0,0,0,0,0,0,0,1
hsa-mir-155-5p,1,1,0,1,1,1,1,1,1,1,0
