RPS6KA5
ZNF512B
PRTG
ITGB8
USP3
USP46
C2CD2
CLOCK
ZBTB4
FAM45A
ZFYVE9
ZNF367
ATG16L1
LRIG1
ELK4
CREBRF
AAK1
PTPN4
DYNC1LI2
KLHL28
REEP3
KCNK10
NFAT5
ZBTB34
STARD13
NAPEPLD
NABP1
MKRN1
MED12L
MAP3K2
LRIG3
LIN28B
KMT2B
KIAA0513
ATXN1L
KCNJ2
VLDLR
KCNB1
SLC40A1
ITPRIPL2
VANGL1
E2F1
HSPA8
GXYLT1
GPR6
GPR137C
ENPP5
EPHA4
EPHA5
FYCO1
TXNIP
FSD1L
EZH1
FRMD6
FRMD4B
SAR1B
SAMD12
FCHO2
FBXW7
FBXL5
BRMS1L
SACS
ZNFX1
ZFYVE26
TRIM71
RUFY2
RRAGD
AKTIP
RORA
CAMTA1
RNF128
RGL1
REST
RASGRF2
CCND1
RAB22A
ANKIB1
TNPO1
PTEN
ANKRD52
PLEKHA3
PKD2
CFL2
PDCD1LG2
ZNF800
NR6A1
TBC1D9
TBC1D20
NPAT
NPAS2
ARHGAP12
ZNF827
ARID4B
STK17B
NCOA3
FIGN
ATP11C
TNRC6B
BTG2
ARID3B
CCND2
MDM4
ONECUT2
FBN1
CACUL1
IGDCC3
BNIP2
KLHL42
PTAFR
NEXMIF
HMGA2
HIC2
TET3
ADAMTS15
SFMBT1
NPHP3
SESN3
HBP1
CBX5
NAP1L1
GTF2A1
UBN2
RAB8B
C14ORF28
SLF2
PRDM1
GATM
TAB3
NAP1L5
CDS1
TET2
SLC7A11
CCNT2
CEP350
MIB1
SMARCAD1
PAPPA
SEC23IP
PGRMC1
ETNK1
STOX2
SLC10A7
NME6
TET1
SALL4
CLCN3
IGF2BP1
FIGNL2
ADM
PPP1R11
STRADB
FUT9
PKP4
SEC24A
ESR1
ACSL4
FRS2
MBTD1
SCN8A
PDE7A
ADAMTS9
ABHD17C
CHIC1
BRWD1
BRWD3
NUP50
S1PR1
TSC1
CHST1
C21ORF91
RUNX1
C2ORF42
NUFIP2
STK39
AKT3
MRTFB
ZBTB18
TOP1
NAV3
ATG14
REPS2
NAV1
TNRC6A
YOD1
PTGER4
CNR1
KCNA4
CDC34
KBTBD8
SLC24A3
SYT1
B3GNT5
KDM5B
SKIL
IGF1
SKIDA1
KIF13A
SGK1
ARAP2
E2F7
DDX3X
HCFC2
SLC4A4
BCL11B
SECISBP2L
LPP
TMEM170B
GPR63
TLK1
EMSY
GLIS3
EFCAB14
ABCA1
ABL2
ACBD5
ACVR1
ACVR1C
ADAMTS17
ADAMTS6
ADAMTSL3
ADRB1
AFF1
AFF4
AGAP1
AHCYL2
AKAP1
AKIRIN1
AMMECR1L
AP1G1
ARFGEF1
ARHGAP20
ARHGEF26
ATAD2B
ATXN1
ATXN7L1
AUH
B3GALT2
BAG4
BBX
BEND3
BEND4
BEX3
BLOC1S2
BMP3
BMPR2
BORA
C11ORF96
C16ORF72
C1QTNF6
C2ORF69
C3ORF52
CACNA1C
CACNA1E
CAMSAP1
CAMSAP2
CASZ1
CCNL1
CD69
CDC40
CDK16
CDK19
CDK8
CGGBP1
CHORDC1
CIPC
CLASP2
CLIP1
CLIP4
CNOT6L
CNTFR
COL10A1
COL11A1
COL19A1
COL1A1
COL2A1
COL3A1
COL4A1
COL5A1
COL5A2
COL5A3
COL7A1
CPEB2
CRISPLD1
CRLF3
CSMD1
CSNK1G3
CTCF
DAAM2
DCAF6
DCUN1D4
DICER1
DIO2
DLG5
DLL1
DNAJA2
DNAJB9
DNAJC27
DNAJC6
DNMT3A
DOCK9
DOT1L
DSEL
DTNA
E2F8
EFR3A
EHF
EIF5A2
ELF4
ELMOD2
EPC2
ERCC6
ERLIN1
EYA1
EYA4
FAM126B
FAM129A
FAM136A
FAM160B1
FAM234B
FAM43A
FAM98A
FBXL19
FBXO28
FGD4
FNIP1
FNIP2
FOXA3
FOXJ3
G3BP2
GAB1
GABRA1
GATC
GCC2
GLRA1
GLRB
GNA13
GOLGA3
GPAM
GPR180
GRIA4
GRIN2D
GRSF1
HAS3
HECTD2
HEXIM1
HIF3A
HIPK3
HOXA5
IGSF8
IMPDH1
INTU
IRAK1
ITGA4
ITGAV
KCNK2
KDM7A
KIAA1109
KLF3
KLF4
KLHL14
KMT5C
KPNA6
LARP1
LEF1
LGALSL
LHFPL2
LONRF1
LRP2
LSM12
MAB21L1
MAN2A1
MAP2K4
MAP3K1
MAP4K4
MAP7
MAST4
MBNL2
MCFD2
MFSD8
MGAT4A
MICU3
MIER3
MMD
MORC3
MRC1
MTM1
MYB
MYO1B
MYO6
MYRF
MYT1L
NAA40
NAB1
NACC2
NASP
NAV2
NCKAP5
NCOA2
NECTIN1
NEDD9
NEK6
NFIA
NHS
NOVA1
