ADAMTS15
ARID3B
C14ORF28
CBX5
CCND2
CDC34
FIGN
FIGNL2
FRMD4B
GATM
HIC2
HMGA2
IGDCC3
IGF2BP1
LIN28B
LPGAT1
LRIG3
MIB1
NAP1L1
NME6
NPHP3
NR6A1
PAPPA
PGRMC1
PRTG
PTAFR
SALL4
SFMBT1
SKIL
SLC10A7
SLF2
SMARCAD1
STARD13
TRIM71
ZNF512B
