mirna
AAK1
AKTIP
ANKIB1
ANKRD52
ARHGAP12
ARID4B
ATG16L1
ATXN1L
BCL11B
BRMS1L
C2CD2
CAMTA1
CCND1
CFL2
CLOCK
DYNC1LI2
E2F1
ELK4
EMSY
ENPP5
EPHA4
EPHA5
EZH1
FAM45A
FBXL5
FCHO2
FRMD6
FSD1L
FYCO1
GLIS3
GPR137C
GPR6
HSPA8
ITGB8
ITPRIPL2
KCNB1
KCNK10
KIAA0513
KLHL28
KMT2B
LRIG1
MAP3K2
MED12L
MKRN1
NABP1
NAPEPLD
NCOA3
NFAT5
NPAS2
NPAT
PDCD1LG2
PKD2
PLEKHA3
PTPN4
RAB22A
RASGRF2
REEP3
REST
RGL1
RNF128
RPS6KA5
RRAGD
RUFY2
SACS
SAMD12
SAR1B
SLC40A1
STK17B
TBC1D20
TBC1D9
TXNIP
USP3
USP46
VANGL1
VLDLR
ZBTB4
ZFYVE26
ZFYVE9
ZNF367
ZNF512B
ZNF800
ZNF827
ZNFX1
