mirna
AP1S2
ARHGAP6
ATXN1
BAP1
C11ORF95
CCNJ
CFL2
CNOT6
CRKL
CSNK1G3
DNAJC3
ELL2
ELMOD2
ERRFI1
FAM122C
FAM8A1
FBXW7
FEZ2
GPM6A
HIPK3
KDM7A
KHDRBS1
LHFPL6
LRP1B
MAP2
MBNL3
MCFD2
MGAT2
MIEF1
MPRIP
MSN
NFIA
NOVA2
NR5A2
OSTM1
PCMTD1
PPP2R5E
PPP4R2
PRDM16
PRTG
PTPN14
PTPN21
QKI
RAB11FIP2
RECK
RIC1
RPS6KB1
SEC23A
SLC35B4
SLIT2
SUSD5
SYNJ1
TBX18
TENT4B
TFAP2A
TRIM33
VASH2
WASF3
WIPF1
ZEB1
ZEB2
