mirna
ABR
AHCYL2
CACNA1E
CELF3
DLL1
E2F5
FAM167A
FAM76A
FKBP1B
FLOT2
FUT9
HCN3
LGR4
MDM4
MET
MGAT4A
MPP2
MYCN
NAV1
NAV3
NECTIN1
PACS1
PKP4
PPP1R11
RAP1GDS1
RRAS
SATB2
SCN2B
SDK2
SHANK3
SYT1
TGIF2
VAMP2
XYLT1
