mirna
AMOTL2
APBA1
AVL9
BCL2L11
BOK
C8ORF58
CHST4
CMTM4
ELL
FAM45A
GBX2
IFFO2
LRPAP1
PTGER4
SESN1
STRADB
TAOK1
TOP1
VSTM4
ZXDB
