mirna
ABL2
AHCYL2
AKT3
ANKUB1
ANO3
APLN
ARIH1
ARL2
ARL3
ATG14
ATG9A
AXIN2
BTRC
C2ORF42
CACNA1E
CASK
CCDC6
CCND2
CCNE1
CDCA4
CPEB2
CYB561A3
CYP26B1
DCLK1
DESI1
DMPK
DNAJB4
EPHB2
FASN
FBXO21
FBXW7
FGF2
FGF7
GAREM1
GPR63
GRM7
HTR2A
IPO7
KCNJ2
KDSR
KIF1B
KIF23
KIF5C
LSM11
LURAP1L
LUZP1
MAMSTR
MGAT4A
MOB3B
MTMR3
MYB
NECTIN1
NUP50
PAPPA
PHF19
PISD
PLAG1
PPM1E
PTPN4
RAB11FIP2
RASGEF1B
RASSF8
RECK
RNF144B
SCN8A
SHOC2
SLC11A2
SLC13A3
SLC9A6
SPRED1
SPRYD3
SREK1
STOX2
SYNJ1
TBL1XR1
TFAP2A
TLK1
TMEM100
TNRC6B
UBE2Q1
UBE2V1
UBE4B
UBN2
UNC80
WEE1
ZBTB44
ZBTB46
