mirna
ACKR2
ACOX1
AKR1D1
ALDH6A1
APOBEC3F
ARFIP1
ATL3
ATP13A4
ATP6V0A2
ATXN7
CBX5
CCNJ
CD3EAP
CLCC1
CLSPN
CNOT6L
CNTLN
CYP1A2
CYP20A1
DBT
DENND1B
DNAL1
EDEM1
ENPP1
GNS
GOLGA3
GPI
GPN3
HAUS5
HPSE
IBA57
IMPAD1
JAK2
KPNA3
LRTOMT
MAPK8
MCM4
MDM2
MDM4
MEFV
MTFMT
MTPAP
MYLK3
MYO5C
NF2
NOL9
NUDT19
PATJ
PHTF2
PIGR
PRELID2
PRTG
RAB21
RAD52
RIMKLB
RLIM
RPL15
RTCA
S1PR2
SCAI
SCD5
SDE2
SERF1A
SERF1B
SKA1
SLC16A7
SLC24A4
SLC35E2A
SPACA9
SPAG9
SPATA5
SPATS2L
SPC24
SS18
ST6GAL2
SUPT7L
SUSD5
TAF8
TGS1
TMEM120B
TMEM170B
TMEM33
TOGARAM1
TOR1AIP2
TPM3
TRAF3IP2
TRAPPC2
TRIM13
TRMT9B
UBE2K
UHMK1
UQCC3
USP33
VHL
WDR55
WNK3
ZBTB3
ZC3H12B
ZC3H13
ZC3H6
ZCCHC8
ZFP14
ZNF22
ZNF486
ZNF490
ZNF578
ZNF587
ZNF600
ZNF785
ZNF805
ZNF814
ZNF816-ZNF321P
ZNF839
ZNF845
ZNF850
